,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
age,1338.0,39.20702541106129,14.049960379216154,18.0,27.0,39.0,51.0,64.0,0.05567251565299186,-1.2450876526418673
bmi,1338.0,30.66339686098655,6.098186911679014,15.96,26.29625,30.4,34.69375,53.13,0.2840471105987448,-0.05073153135467834
children,1338.0,1.0949177877429,1.205492739781914,0.0,0.0,1.0,2.0,5.0,0.9383804401702414,0.2024541467168901
charges,1338.0,13270.422265141257,12110.011236694001,1121.8739,4740.28715,9382.033,16639.912515,63770.42801,1.5158796580240388,1.6062986532967907
